publication_date,day,month,year
8/18/2004,18,8,2004
3/7/2006,7,3,2006
9/1/1996,1,9,1996
4/1/2005,1,4,2005
1/1/2004,1,1,2004
11/15/2002,15,11,2002
5/9/2006,9,5,2006
9/27/2005,27,9,2005
10/15/1993,15,10,1993
4/1/2005,1,4,2005
2/13/2007,13,2,2007
10/27/2005,27,10,2005
4/21/2005,21,4,2005
6/1/2003,1,6,2003
6/23/2003,23,6,2003
8/31/2004,31,8,2004
9/5/2006,5,9,2006
10/28/2003,28,10,2003
6/1/2004,1,6,2004
11/1/2004,1,11,2004
4/1/2002,1,4,2002
9/9/2008,9,9,2008
4/12/2004,12,4,2004
8/7/2001,7,8,2001
6/22/2006,22,6,2006
6/13/2006,13,6,2006
4/10/2001,10,4,2001
5/19/2004,19,5,2004
4/1/1998,1,4,1998
10/17/2002,17,10,2002
7/1/2004,1,7,2004
9/6/2006,6,9,2006
2/25/2003,25,2,2003
3/1/2002,1,3,2002
9/1/2005,1,9,2005
5/25/2004,25,5,2004
4/27/2004,27,4,2004
9/26/2006,26,9,2006
9/2/2002,2,9,2002
5/19/2002,19,5,2002
9/25/2000,25,9,2000
9/6/2005,6,9,2005
6/1/2006,1,6,2006
4/3/2012,3,4,2012
5/22/2000,22,5,2000
8/1/2003,1,8,2003
7/5/2005,5,7,2005
8/30/2005,30,8,2005
1/1/2005,1,1,2005
4/18/2004,18,4,2004
2/16/1995,16,2,1995
10/17/2006,17,10,2006
2/1/2006,1,2,2006
10/24/2006,24,10,2006
8/1/2005,1,8,2005
6/1/2004,1,6,2004
12/1/2002,1,12,2002
4/1/2005,1,4,2005
7/15/1998,15,7,1998
4/1/1982,1,4,1982
1/6/2004,6,1,2004
11/29/1997,29,11,1997
9/1/2006,1,9,2006
2/13/2007,13,2,2007
4/30/2002,30,4,2002
7/11/2006,11,7,2006
3/1/1989,1,3,1989
7/15/1996,15,7,1996
1/1/2001,1,1,2001
12/31/2002,31,12,2002
6/1/2004,1,6,2004
2/28/2005,28,2,2005
6/15/1999,15,6,1999
6/7/2006,7,6,2006
9/1/1992,1,9,1992
3/6/2001,6,3,2001
8/3/2004,3,8,2004
2/4/2002,4,2,2002
5/11/2004,11,5,2004
9/26/2006,26,9,2006
2/27/2003,27,2,2003
4/10/2007,10,4,2007
7/4/1994,4,7,1994
10/1/1999,1,10,1999
1/30/2001,30,1,2001
11/30/2001,30,11,2001
10/2/2003,2,10,2003
5/3/2005,3,5,2005
12/1/1999,1,12,1999
5/9/2006,9,5,2006
2/27/2007,27,2,2007
4/1/2003,1,4,2003
10/7/1990,7,10,1990
5/17/2006,17,5,2006
9/13/2005,13,9,2005
9/3/2002,3,9,2002
2/1/2001,1,2,2001
11/5/2002,5,11,2002
11/15/1995,15,11,1995
6/15/2001,15,6,2001
9/2/2003,2,9,2003
10/24/2006,24,10,2006
2/4/2003,4,2,2003
3/25/2003,25,3,2003
2/27/2003,27,2,2003
10/4/1999,4,10,1999
4/25/2006,25,4,2006
11/15/1997,15,11,1997
4/12/1997,12,4,1997
12/30/2003,30,12,2003
3/6/2007,6,3,2007
8/29/2006,29,8,2006
12/31/2002,31,12,2002
2/27/2003,27,2,2003
6/17/2002,17,6,2002
7/12/1988,12,7,1988
5/23/2006,23,5,2006
9/1/2006,1,9,2006
1/30/2003,30,1,2003
6/12/2001,12,6,2001
6/16/2003,16,6,2003
9/25/2012,25,9,2012
1/1/2005,1,1,2005
2/15/1999,15,2,1999
12/27/2004,27,12,2004
7/1/2004,1,7,2004
6/24/2004,24,6,2004
10/6/1998,6,10,1998
3/7/2000,7,3,2000
5/2/2006,2,5,2006
7/15/1987,15,7,1987
4/26/2005,26,4,2005
2/25/2003,25,2,2003
4/10/2003,10,4,2003
3/29/2005,29,3,2005
5/13/1993,13,5,1993
7/15/2003,15,7,2003
2/5/2002,5,2,2002
8/25/2009,25,8,2009
6/5/2004,5,6,2004
8/31/2004,31,8,2004
4/1/1999,1,4,1999
4/8/2003,8,4,2003
3/8/2002,8,3,2002
3/14/2005,14,3,2005
8/22/2006,22,8,2006
1/14/2004,14,1,2004
3/15/2001,15,3,2001
6/20/2006,20,6,2006
1/1/2006,1,1,2006
2/20/2000,20,2,2000
2/2/2000,2,2,2000
10/1/2005,1,10,2005
10/4/2004,4,10,2004
3/21/2006,21,3,2006
4/26/2005,26,4,2005
10/10/1990,10,10,1990
12/28/1999,28,12,1999
9/1/2005,1,9,2005
10/16/2001,16,10,2001
9/4/2006,4,9,2006
11/4/2004,4,11,2004
4/18/2006,18,4,2006
2/1/2002,1,2,2002
11/30/2004,30,11,2004
5/1/1995,1,5,1995
6/16/1990,16,6,1990
9/1/1997,1,9,1997
6/11/2002,11,6,2002
2/10/2003,10,2,2003
11/15/2005,15,11,2005
1/7/2002,7,1,2002
3/27/2007,27,3,2007
6/26/2003,26,6,2003
8/1/1995,1,8,1995
5/1/2007,1,5,2007
8/18/2003,18,8,2003
10/1/1986,1,10,1986
6/15/1999,15,6,1999
3/14/2006,14,3,2006
1/1/2001,1,1,2001
3/17/2004,17,3,2004
6/15/1987,15,6,1987
8/24/2002,24,8,2002
2/5/1999,5,2,1999
6/28/2005,28,6,2005
11/1/2005,1,11,2005
4/6/2004,6,4,2004
10/3/2006,3,10,2006
6/11/2002,11,6,2002
8/1/2005,1,8,2005
11/1/2002,1,11,2002
9/6/2012,6,9,2012
9/1/2002,1,9,2002
6/20/2006,20,6,2006
1/19/2004,19,1,2004
5/29/2007,29,5,2007
5/28/1997,28,5,1997
1/1/2000,1,1,2000
5/8/2007,8,5,2007
10/26/1998,26,10,1998
1/6/2006,6,1,2006
11/1/2004,1,11,2004
9/7/2004,7,9,2004
1/30/1982,30,1,1982
5/20/2005,20,5,2005
3/30/1999,30,3,1999
10/3/2002,3,10,2002
5/1/2004,1,5,2004
4/11/2006,11,4,2006
1/2/2007,2,1,2007
5/3/2005,3,5,2005
1/1/2005,1,1,2005
9/8/2000,8,9,2000
4/1/2004,1,4,2004
10/20/1994,20,10,1994
2/1/2008,1,2,2008
4/27/2006,27,4,2006
12/26/2006,26,12,2006
11/28/2006,28,11,2006
12/27/2005,27,12,2005
12/27/2005,27,12,2005
8/25/2010,25,8,2010
6/27/2002,27,6,2002
8/2/2005,2,8,2005
6/1/1982,1,6,1982
5/1/2003,1,5,2003
7/31/2001,31,7,2001
6/8/2004,8,6,2004
1/21/1994,21,1,1994
3/30/2000,30,3,2000
3/16/2005,16,3,2005
8/12/2003,12,8,2003
1/1/1994,1,1,1994
9/1/2001,1,9,2001
11/1/2005,1,11,2005
2/6/2001,6,2,2001
5/1/2001,1,5,2001
5/15/2001,15,5,2001
1/1/2005,1,1,2005
9/26/2006,26,9,2006
4/25/2006,25,4,2006
5/1/1994,1,5,1994
1/1/2007,1,1,2007
11/2/2004,2,11,2004
6/14/1993,14,6,1993
5/18/2000,18,5,2000
9/12/2006,12,9,2006
4/21/1999,21,4,1999
5/2/2000,2,5,2000
8/16/2006,16,8,2006
5/23/2006,23,5,2006
12/21/2010,21,12,2010
8/21/1997,21,8,1997
8/17/2006,17,8,2006
5/11/2004,11,5,2004
11/30/1991,30,11,1991
10/7/2003,7,10,2003
9/1/2006,1,9,2006
3/1/2005,1,3,2005
9/29/1996,29,9,1996
4/4/2006,4,4,2006
1/19/2006,19,1,2006
4/9/2002,9,4,2002
12/5/2006,5,12,2006
12/3/1999,3,12,1999
9/5/2006,5,9,2006
3/7/2006,7,3,2006
4/11/2006,11,4,2006
12/27/2005,27,12,2005
2/3/2004,3,2,2004
2/15/1991,15,2,1991
8/2/2005,2,8,2005
12/26/2006,26,12,2006
1/5/1998,5,1,1998
8/1/2002,1,8,2002
1/1/2007,1,1,2007
10/17/2005,17,10,2005
7/18/2000,18,7,2000
9/21/2006,21,9,2006
2/14/2006,14,2,2006
10/25/2004,25,10,2004
7/9/2002,9,7,2002
5/1/2006,1,5,2006
1/26/2004,26,1,2004
7/29/2014,29,7,2014
10/18/2006,18,10,2006
4/11/2002,11,4,2002
7/7/2005,7,7,2005
12/9/2001,9,12,2001
10/31/2000,31,10,2000
5/2/2006,2,5,2006
9/14/2004,14,9,2004
5/23/2006,23,5,2006
3/31/1998,31,3,1998
1/18/2007,18,1,2007
5/17/2002,17,5,2002
7/1/2002,1,7,2002
5/16/2006,16,5,2006
10/20/1994,20,10,1994
5/11/1999,11,5,1999
3/1/2005,1,3,2005
10/3/2000,3,10,2000
6/30/1993,30,6,1993
8/31/2004,31,8,2004
3/10/1999,10,3,1999
12/1/1989,1,12,1989
9/26/2006,26,9,2006
5/1/2006,1,5,2006
4/1/2005,1,4,2005
4/9/2001,9,4,2001
8/29/1995,29,8,1995
8/2/2005,2,8,2005
3/28/2006,28,3,2006
10/1/1991,1,10,1991
10/1/1996,1,10,1996
6/1/2006,1,6,2006
8/23/2011,23,8,2011
1/9/2007,9,1,2007
8/5/2003,5,8,2003
7/2/2004,2,7,2004
10/1/1998,1,10,1998
6/1/2005,1,6,2005
9/30/2003,30,9,2003
10/5/2004,5,10,2004
10/31/2006,31,10,2006
8/30/2005,30,8,2005
6/13/2006,13,6,2006
9/1/1989,1,9,1989
2/5/2002,5,2,2002
12/30/2003,30,12,2003
9/1/2000,1,9,2000
11/1/2005,1,11,2005
5/23/2006,23,5,2006
9/30/1998,30,9,1998
10/2/2006,2,10,2006
6/28/2005,28,6,2005
5/10/2005,10,5,2005
6/25/2002,25,6,2002
9/11/2001,11,9,2001
7/22/2003,22,7,2003
12/1/2006,1,12,2006
4/4/2006,4,4,2006
11/28/2006,28,11,2006
10/3/2000,3,10,2000
10/24/2006,24,10,2006
3/6/1998,6,3,1998
7/3/2006,3,7,2006
9/27/2005,27,9,2005
9/24/2002,24,9,2002
12/5/2005,5,12,2005
8/1/2003,1,8,2003
7/30/2002,30,7,2002
10/15/1993,15,10,1993
4/26/2005,26,4,2005
6/2/1997,2,6,1997
12/28/2004,28,12,2004
8/2/2005,2,8,2005
10/17/2006,17,10,2006
4/1/2006,1,4,2006
10/24/2006,24,10,2006
6/9/2009,9,6,2009
2/5/2002,5,2,2002
1/31/2004,31,1,2004
5/12/2000,12,5,2000
10/10/2006,10,10,2006
3/5/2019,5,3,2019
10/29/2002,29,10,2002
6/9/2010,9,6,2010
1/12/1999,12,1,1999
6/1/1999,1,6,1999
8/30/2005,30,8,2005
1/21/1999,21,1,1999
5/11/1999,11,5,1999
9/24/2002,24,9,2002
5/1/2007,1,5,2007
1/23/2007,23,1,2007
4/15/1988,15,4,1988
11/22/2005,22,11,2005
4/1/2001,1,4,2001
4/12/2004,12,4,2004
6/4/1991,4,6,1991
11/1/1999,1,11,1999
10/29/2002,29,10,2002
11/25/2003,25,11,2003
4/9/2001,9,4,2001
4/1/2002,1,4,2002
8/5/2003,5,8,2003
5/4/2006,4,5,2006
11/28/2006,28,11,2006
5/1/2001,1,5,2001
5/2/2006,2,5,2006
1/25/2005,25,1,2005
6/1/2001,1,6,2001
10/1/2002,1,10,2002
5/16/2006,16,5,2006
8/1/2006,1,8,2006
8/1/1994,1,8,1994
5/6/2003,6,5,2003
10/3/2000,3,10,2000
11/2/2004,2,11,2004
8/29/2006,29,8,2006
8/1/2005,1,8,2005
5/7/1991,7,5,1991
9/3/1999,3,9,1999
4/1/2003,1,4,2003
9/24/2002,24,9,2002
8/30/2005,30,8,2005
4/25/2006,25,4,2006
12/2/2003,2,12,2003
9/1/1991,1,9,1991
5/1/2007,1,5,2007
1/6/1994,6,1,1994
5/6/2004,6,5,2004
6/1/2004,1,6,2004
4/1/2005,1,4,2005
12/26/2006,26,12,2006
5/31/2005,31,5,2005
4/11/2006,11,4,2006
3/4/1989,4,3,1989
12/27/2005,27,12,2005
7/29/2014,29,7,2014
9/26/2006,26,9,2006
10/1/2000,1,10,2000
8/1/1997,1,8,1997
10/10/2006,10,10,2006
1/11/2005,11,1,2005
6/1/2006,1,6,2006
1/11/2005,11,1,2005
5/5/2005,5,5,2005
3/13/2003,13,3,2003
10/22/1982,22,10,1982
3/10/1999,10,3,1999
10/14/2003,14,10,2003
3/12/2001,12,3,2001
6/26/2003,26,6,2003
12/5/2006,5,12,2006
2/25/1997,25,2,1997
1/28/2003,28,1,2003
2/7/2002,7,2,2002
6/11/2002,11,6,2002
4/13/1996,13,4,1996
6/1/2005,1,6,2005
2/1/2005,1,2,2005
9/24/2002,24,9,2002
11/4/2004,4,11,2004
9/2/2003,2,9,2003
8/3/2000,3,8,2000
6/28/2000,28,6,2000
1/31/2006,31,1,2006
9/5/1995,5,9,1995
10/26/2005,26,10,2005
1/1/2006,1,1,2006
6/8/2006,8,6,2006
8/27/2002,27,8,2002
8/14/2007,14,8,2007
8/2/2006,2,8,2006
3/28/1993,28,3,1993
2/27/2003,27,2,2003
8/3/2004,3,8,2004
7/1/1988,1,7,1988
11/13/2006,13,11,2006
5/16/2006,16,5,2006
3/20/2007,20,3,2007
4/5/2002,5,4,2002
1/30/1991,30,1,1991
6/27/2006,27,6,2006
7/3/2006,3,7,2006
7/29/2004,29,7,2004
11/13/2004,13,11,2004
10/1/1997,1,10,1997
10/1/2005,1,10,2005
9/1/1996,1,9,1996
1/9/2007,9,1,2007
2/5/2002,5,2,2002
5/8/2007,8,5,2007
3/5/1998,5,3,1998
9/28/1997,28,9,1997
4/1/2003,1,4,2003
1/1/2006,1,1,2006
8/29/2006,29,8,2006
2/12/2002,12,2,2002
11/27/2001,27,11,2001
3/5/2007,5,3,2007
9/1/2006,1,9,2006
9/30/2003,30,9,2003
7/2/2002,2,7,2002
11/6/2004,6,11,2004
6/1/1987,1,6,1987
8/29/2006,29,8,2006
2/1/1997,1,2,1997
8/31/2004,31,8,2004
8/30/2005,30,8,2005
2/1/2005,1,2,2005
8/29/2006,29,8,2006
6/3/2005,3,6,2005
1/1/2007,1,1,2007
8/28/1990,28,8,1990
2/8/2005,8,2,2005
11/1/2002,1,11,2002
9/26/2006,26,9,2006
10/20/1994,20,10,1994
5/6/2003,6,5,2003
8/15/1987,15,8,1987
12/1/2003,1,12,2003
4/5/2001,5,4,2001
10/23/1989,23,10,1989
10/11/2001,11,10,2001
3/7/2006,7,3,2006
6/1/2004,1,6,2004
12/27/2005,27,12,2005
4/5/2005,5,4,2005
2/3/2004,3,2,2004
6/1/2005,1,6,2005
2/21/2002,21,2,2002
9/7/2005,7,9,2005
8/31/2004,31,8,2004
3/28/2006,28,3,2006
9/17/2004,17,9,2004
1/23/2007,23,1,2007
3/10/1999,10,3,1999
7/1/1999,1,7,1999
2/10/2000,10,2,2000
4/1/2000,1,4,2000
4/1/2002,1,4,2002
10/22/1998,22,10,1998
8/30/2004,30,8,2004
4/5/2005,5,4,2005
2/4/2004,4,2,2004
8/15/2006,15,8,2006
9/28/2000,28,9,2000
10/1/2006,1,10,2006
10/1/2004,1,10,2004
4/1/2001,1,4,2001
1/16/2007,16,1,2007
9/13/2005,13,9,2005
9/8/1999,8,9,1999
2/27/2003,27,2,2003
7/31/2006,31,7,2006
9/27/2005,27,9,2005
9/1/2002,1,9,2002
6/1/2001,1,6,2001
9/13/2004,13,9,2004
10/6/2003,6,10,2003
10/19/2003,19,10,2003
8/3/2004,3,8,2004
9/1/1999,1,9,1999
3/10/1999,10,3,1999
1/30/2001,30,1,2001
9/8/1998,8,9,1998
7/9/2002,9,7,2002
6/1/2006,1,6,2006
2/6/2007,6,2,2007
8/23/2005,23,8,2005
2/22/2005,22,2,2005
8/2/2005,2,8,2005
4/13/2006,13,4,2006
3/1/2006,1,3,2006
2/15/2000,15,2,2000
7/1/2005,1,7,2005
11/4/2004,4,11,2004
5/28/2002,28,5,2002
4/1/1995,1,4,1995
5/30/2006,30,5,2006
1/1/1998,1,1,1998
7/1/2004,1,7,2004
8/1/1995,1,8,1995
2/1/1990,1,2,1990
8/5/2003,5,8,2003
8/17/1999,17,8,1999
9/1/2009,1,9,2009
9/25/2003,25,9,2003
1/30/2007,30,1,2007
3/2/2004,2,3,2004
1/2/2007,2,1,2007
7/1/1987,1,7,1987
10/10/2006,10,10,2006
2/4/2008,4,2,2008
6/1/1988,1,6,1988
10/1/2002,1,10,2002
8/1/2006,1,8,2006
3/26/2002,26,3,2002
7/18/2006,18,7,2006
4/1/1983,1,4,1983
12/1/1996,1,12,1996
10/1/1994,1,10,1994
4/27/2004,27,4,2004
10/7/2004,7,10,2004
6/9/1994,9,6,1994
10/18/2005,18,10,2005
1/4/2001,4,1,2001
8/6/2019,6,8,2019
10/1/2002,1,10,2002
7/1/2003,1,7,2003
12/26/2006,26,12,2006
2/5/2002,5,2,2002
6/5/2007,5,6,2007
12/26/2006,26,12,2006
3/8/2001,8,3,2001
10/2/2004,2,10,2004
4/1/2005,1,4,2005
8/31/2004,31,8,2004
2/6/2007,6,2,2007
1/2/2007,2,1,2007
8/8/2006,8,8,2006
6/26/2007,26,6,2007
9/28/2004,28,9,2004
3/7/2006,7,3,2006
7/11/2006,11,7,2006
10/16/2006,16,10,2006
5/25/2004,25,5,2004
5/27/2003,27,5,2003
9/26/2006,26,9,2006
10/1/1995,1,10,1995
1/15/1997,15,1,1997
9/3/1999,3,9,1999
3/1/2003,1,3,2003
11/20/2001,20,11,2001
1/3/2006,3,1,2006
7/1/1998,1,7,1998
7/16/1999,16,7,1999
7/26/2005,26,7,2005
2/1/1996,1,2,1996
9/1/2006,1,9,2006
10/1/2005,1,10,2005
10/9/2006,9,10,2006
5/22/2003,22,5,2003
1/1/2002,1,1,2002
8/16/1996,16,8,1996
8/1/2005,1,8,2005
11/2/1999,2,11,1999
6/30/2005,30,6,2005
3/1/1994,1,3,1994
5/27/2003,27,5,2003
3/4/2003,4,3,2003
9/14/1998,14,9,1998
12/1/2000,1,12,2000
4/10/2007,10,4,2007
10/2/2001,2,10,2001
3/10/2002,10,3,2002
6/15/2004,15,6,2004
10/5/1993,5,10,1993
6/30/1998,30,6,1998
3/31/2020,31,3,2020
6/22/2004,22,6,2004
9/1/2001,1,9,2001
5/2/1995,2,5,1995
4/1/2003,1,4,2003
7/9/2002,9,7,2002
10/26/2004,26,10,2004
5/16/2006,16,5,2006
10/5/2010,5,10,2010
1/30/2003,30,1,2003
11/1/2004,1,11,2004
6/5/2002,5,6,2002
6/1/2003,1,6,2003
12/10/2002,10,12,2002
1/20/1998,20,1,1998
10/18/2006,18,10,2006
8/1/1982,1,8,1982
12/1/2005,1,12,2005
1/16/2007,16,1,2007
1/1/2007,1,1,2007
3/2/2005,2,3,2005
4/19/1993,19,4,1993
2/14/2007,14,2,2007
4/1/2003,1,4,2003
1/5/2000,5,1,2000
1/17/1996,17,1,1996
4/6/1977,6,4,1977
1/17/2005,17,1,2005
6/1/2004,1,6,2004
12/3/2002,3,12,2002
5/1/2006,1,5,2006
7/26/2005,26,7,2005
9/27/2005,27,9,2005
9/30/2006,30,9,2006
7/5/2005,5,7,2005
11/12/2002,12,11,2002
11/8/2005,8,11,2005
7/2/2007,2,7,2007
2/5/2001,5,2,2001
12/13/2005,13,12,2005
5/1/2004,1,5,2004
3/11/2003,11,3,2003
11/1/2006,1,11,2006
11/9/2001,9,11,2001
9/2/2004,2,9,2004
8/31/2000,31,8,2000
10/4/2005,4,10,2005
6/1/2002,1,6,2002
8/3/2006,3,8,2006
12/1/2000,1,12,2000
8/1/2005,1,8,2005
7/15/2006,15,7,2006
9/6/2005,6,9,2005
2/8/2002,8,2,2002
8/26/2008,26,8,2008
1/7/2003,7,1,2003
3/15/2005,15,3,2005
9/7/2004,7,9,2004
9/1/2006,1,9,2006
9/1/2003,1,9,2003
1/8/2007,8,1,2007
8/3/2004,3,8,2004
2/27/2007,27,2,2007
12/1/2001,1,12,2001
12/1/1998,1,12,1998
4/9/2002,9,4,2002
5/9/2006,9,5,2006
8/4/2003,4,8,2003
3/1/1994,1,3,1994
4/5/2005,5,4,2005
5/11/1999,11,5,1999
1/24/2006,24,1,2006
3/3/1987,3,3,1987
11/30/2004,30,11,2004
12/27/2005,27,12,2005
9/21/2004,21,9,2004
3/23/2004,23,3,2004
10/28/2004,28,10,2004
3/1/2003,1,3,2003
7/6/2004,6,7,2004
10/24/2006,24,10,2006
7/29/2003,29,7,2003
7/5/2005,5,7,2005
11/30/2004,30,11,2004
9/26/2006,26,9,2006
12/28/2004,28,12,2004
5/16/2006,16,5,2006
10/30/2003,30,10,2003
10/22/1980,22,10,1980
1/5/2005,5,1,2005
9/1/2004,1,9,2004
8/3/1999,3,8,1999
10/22/2002,22,10,2002
7/7/2009,7,7,2009
4/12/2004,12,4,2004
12/3/2005,3,12,2005
8/3/1998,3,8,1998
1/1/2000,1,1,2000
4/25/2006,25,4,2006
4/27/2004,27,4,2004
5/4/2004,4,5,2004
9/17/2005,17,9,2005
5/29/2007,29,5,2007
10/2/2006,2,10,2006
7/1/2004,1,7,2004
10/31/2006,31,10,2006
8/29/2006,29,8,2006
12/20/1999,20,12,1999
11/6/2001,6,11,2001
2/13/2001,13,2,2001
2/5/2002,5,2,2002
9/1/2005,1,9,2005
9/9/2003,9,9,2003
9/17/2004,17,9,2004
5/3/2005,3,5,2005
10/5/2005,5,10,2005
11/6/2001,6,11,2001
4/8/2003,8,4,2003
5/25/2004,25,5,2004
6/6/2006,6,6,2006
9/1/1995,1,9,1995
5/30/2006,30,5,2006
9/15/2003,15,9,2003
5/7/2003,7,5,2003
9/27/2005,27,9,2005
5/1/2007,1,5,2007
9/6/2004,6,9,2004
7/11/2004,11,7,2004
